MasterID,UniqueID,Long,Lat,Sensor,Image,Global_AEZ,Country,StudyArea,Year,Month,JulianDay,Crop,PlotID,Wavelength,Reflectance
3000066,ALSHA0709.1.2011,-119.3159874,35.4843135,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0709,428,2.583053792
3000067,ALSHA0710.1.2011,-119.3156716,35.48457434,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0710,428,2.395560431
3000068,ALSHA0801.1.2011,-119.3150651,35.47986221,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0801,428,2.160187204
3000069,ALSHA0802.1.2011,-119.3154152,35.479869,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0802,428,2.024335019
3000070,ALSHA0803.1.2011,-119.3157597,35.47985558,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0803,428,2.077940225
3000071,ALSHA0804.1.2011,-119.3157457,35.48010067,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0804,428,2.017101698
3000072,ALSHA0805.1.2011,-119.3153974,35.48012917,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0805,428,2.262502371
3000073,ALSHA0806.1.2011,-119.3150331,35.48011785,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0806,428,2.152899202
3000074,ALSHA0807.1.2011,-119.3150539,35.48040401,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0807,428,5.065153683
3000075,ALSHA0808.1.2011,-119.3154047,35.48041583,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0808,428,2.914600284
3000076,ALSHA0809.1.2011,-119.3157102,35.48042069,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0809,428,2.113351518
3000077,ALSHA0810.1.2011,-119.3154043,35.48014283,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0810,428,2.102468417
3000078,ALSHA0901.1.2011,-119.317129,35.47877868,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0901,428,2.578201022
3000079,ALSHA0902.1.2011,-119.3171317,35.47905947,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0902,428,2.869731368
3000080,ALSHA0903.1.2011,-119.3171644,35.47931571,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0903,428,2.355516873
3000081,ALSHA0904.1.2011,-119.3168083,35.47932752,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0904,428,2.125831553
3000082,ALSHA0905.1.2011,-119.3167842,35.47910658,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0905,428,2.280977677
3000083,ALSHA0906.1.2011,-119.3167716,35.4787853,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0906,428,2.642200062
3000084,ALSHA0907.1.2011,-119.3164629,35.47879921,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0907,428,2.71530925
