MasterID,UniqueID,Long,Lat,Sensor,Image,Global_AEZ,Country,StudyArea,Year,Month,JulianDay,Crop,PlotID,Wavelength,Reflectance
3005542,COAZC09.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,220,Cotton,COAZC09,427,NA
3005543,COAZC10.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,167,Cotton,COAZC10,427,NA
3005544,COAZC10.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,220,Cotton,COAZC10,427,NA
3005545,COFIV01.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,163,Cotton,COFIV01,427,4.91
3005546,COFIV01.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,212,Cotton,COFIV01,427,-0.7475
3005547,COFIV01.3.2012,NA,NA,Hyperion,NA,5,USA,California,2012,9,261,Cotton,COFIV01,427,NA
3005548,COFIV02.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,163,Cotton,COFIV02,427,4.9175
3005549,COFIV02.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,212,Cotton,COFIV02,427,1.1425
3005550,COFIV03.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,163,Cotton,COFIV03,427,6.0225
3005551,COFIV03.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,212,Cotton,COFIV03,427,-0.33
3005552,COFIV04.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,163,Cotton,COFIV04,427,4.5325
3005553,COFIV04.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,212,Cotton,COFIV04,427,-0.085
3005554,COFIV05.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,163,Cotton,COFIV05,427,5.12
3005555,COFIV05.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,212,Cotton,COFIV05,427,0.2375
3005556,COFIV06.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,164,Cotton,COFIV06,427,5.775
